"","C","i107","i108","i197","i187","i34","i60","i113","i69","i20","i74","i52","i11","i134","i90","u.67.8","u.67.7","i123","i103","i84","i129","i175","i88","i150","i132","i70","i118","i39","i124","i73","i95","i130","i36","i111","i61","i173","u.25.2","u.25.3","i82","i102"
"i74",29.3468222135513,29.516431922643,29.4143777156568,28.2398807200437,21.6970420334687,17.4203393048758,13.2018010393979,9.20986166638689,7.64908615062276,3.63619546870887,0,7.43293764333628,9.65613375805803,11.6884629427987,12.8330883337313,13.2448555281582,13.4706797483443,12.6941855534319,15.031416466753,17.1568892680559,22.2486700161705,23.1253930725099,24.710548167961,28.5467377205733,29.6865729227729,39.1857512927226,44.1283214811044,46.3223507196057,48.2257753454866,56.467774912002,55.5342483578707,55.2053372225988,56.2969971351612,55.2884792796407,60.7630162719746,65.3353316782573,65.3847275203108,53.0017925224829,49.1311530678756,43.0848713391656
"i52",35.5921086694926,35.6797214588154,35.1865015712769,33.8286978564548,28.3180069572334,23.4536965360288,18.6806456398806,15.8811265324484,12.7016497597239,10.822030526183,7.19463828841658,0,2.44474995508507,4.29443234166673,5.83180091871296,5.91195309085718,9.63292102700072,9.49752554649848,12.9198799115302,11.330842867181,16.5862632334984,21.1423186006964,24.659305511725,27.8465097241804,29.7543887285442,39.0922092238951,44.690609691767,47.0629152584621,49.8054150827771,57.5804884171486,57.7017912771772,57.7146503445085,60.1647173473248,59.9888193140104,65.4066593804939,69.6089570900507,69.5973785170873,57.3453770070095,54.2390004237784,48.7730722307237
"i11",36.9569533061551,37.0075875134242,36.3501708982334,34.9266174162797,29.8970509617995,24.8264312492683,19.9329160037697,17.0551857545194,14.0368099682197,12.9811761171989,9.3465589229151,2.36637147739677,0,2.71343725646587,4.81874097412142,4.42432277756467,8.21048458189206,8.35416310076083,11.7323572170535,9.25868587488776,13.8522000519441,19.6307496252944,23.6724546405989,26.8622451461248,28.9869722159836,38.1826028898352,43.9499049863088,46.3656194504213,49.3651455896251,56.9567787117113,57.4242547300394,57.553023274491,60.4768953266503,60.61788698158,65.9998674866645,70.0495116058728,70.0147064022387,57.8444472964214,55.0470177031614,49.8397303033808
"i134",39.6606405924017,39.7236153885417,39.1099353407668,37.6990027787709,32.5062897642223,27.5208884681196,22.6605725910371,20.1267553854538,16.7285008262787,14.9201091952747,11.3137318051349,4.15675320242588,2.80331117672562,0,2.2362375366869,1.66398106562761,10.2833198686726,10.6468666153602,13.8975053311324,10.2001595042771,14.2792134417066,21.3595831108496,25.8604903586181,29.0358068531323,31.3074733384722,40.3765481714928,46.2536465914921,48.6946769863941,51.843296453778,59.3214720874408,59.9776626942771,60.1575621305246,63.2295913700302,63.4158843137436,68.7946489672386,72.8247714193903,72.7861136593673,60.6296474460023,57.8500242189671,52.6203273605947
"i90",41.4239019314616,41.5108275148498,40.994996486331,39.6193943476351,34.1219590129341,29.2853225828159,24.4982755937982,21.6467078694308,18.5254522309263,15.922075821147,12.4216606024227,5.83180091871296,4.97834633850882,2.31030574429891,0,1.52520269689758,12.5637002440868,12.9525962265404,16.183058521008,12.484872823756,15.8370675993769,23.5126396050559,28.1374842507018,31.3079038617526,33.6055127443082,42.6488349613112,48.5466397021069,50.9914679384655,54.1534828110466,61.6225963866948,62.2854542819323,62.4582289265615,65.4547756171825,65.547337999719,70.9396088745503,75.0181907087069,74.9860520086187,62.8032211602559,59.9111946732251,54.558663448304
"u.67.8",41.3239368540056,41.3859160901742,40.7629849846298,39.3464593436606,34.1662816319248,29.1844894750256,24.3208583238426,21.7746476350465,18.391868326915,16.4028750752266,12.8202265752711,5.72241637260827,4.42432277756467,1.66398106562761,1.52520269689758,0,11.3583139480149,11.8448640132175,14.9781898541136,10.9828798063114,14.3145016133841,22.1052735843142,26.8911454712524,30.0477655164179,32.4210025268775,41.3834502242088,47.3363155132729,49.7948427639776,53.0608826454499,60.443208395565,61.2567010608026,61.4832416899602,64.715127113821,64.9829380920937,70.352329790363,74.3432002234611,74.2982534771102,62.1667514170049,59.4541628506192,54.262865365344
"u.67.7",33.1267782012397,34.1311302158167,32.8883999349887,31.2769873168619,27.394729987253,21.9504506941783,17.1803647981918,17.1341838433698,12.6862172919801,16.0235246723611,13.0388108899747,9.32409039006074,7.94725713759928,9.95363749963852,12.1609090722471,10.9941673593221,0,1.1562986181225,3.62213344468322,4.61997097475867,9.31702369927224,11.5115666418624,15.5771763502885,18.7534403418393,21.0631611408454,30.0937287704007,35.9887040039333,38.4410313731202,41.7398829109673,49.0855547833642,50.0083929195535,50.326087322498,54.1834750440013,55.1115516930942,60.3615311302788,64.0054038655989,63.9151688933249,52.0200547408616,50.0944341745547,45.7633516197422
"i123",31.9897405429912,32.9608913254511,31.7407079585189,30.1368848288814,26.2384539190575,20.7953681878932,16.0240698569528,16.0305896024644,11.5680818572984,15.1458927797788,12.2872110335628,9.19303567726179,8.08632933525224,10.3055289682415,12.5373370822521,11.4651186704065,1.19459730719444,0,3.42508559700826,5.81116314501105,10.4335930004275,11.3692034554921,15.3186616011978,18.5089408099328,20.6718742818119,29.8289201020698,35.6285094937003,38.0594324045699,41.2197774054738,48.6775926461609,49.4191991238843,49.6809469733378,53.3386654614473,54.1526652141818,59.4223395316348,63.125367968409,63.0436853643727,51.1011842338661,49.0705700827594,44.6629517417257
"i103",31.5607557677245,31.4100458835841,29.9713754535394,29.2932040408357,26.4415242704867,20.9186462982596,16.370196065155,17.3563225525079,12.8694624920207,17.5491551637175,15.031416466753,12.5056696495461,11.3562188326534,13.4519524805214,15.6642310275954,14.4979903487,3.50600815146555,3.3152776411937,0,6.52965903317478,9.81181356719956,8.19001671440114,11.9685398730906,15.1511070233407,17.4428962670232,26.4876949109801,32.3667427356678,34.8190423634875,38.1522318926643,45.4650186147694,46.4600621168174,46.8242853236248,50.9665615671785,52.1771252067759,57.3648025615984,60.8571120203845,60.7479073879928,48.9758545968671,47.3923239542437,43.4430201154777
"i84",37.4615736834392,37.3512339283481,37.2466525366315,35.6053653408453,31.8507339487323,26.3912464904686,21.6387482649738,21.5293704581973,17.115239873926,19.8743805630212,16.6068408428991,11.330842867181,9.25868587488776,10.2001595042771,12.0846088523741,10.6307696045864,4.47185509435441,5.62485774393847,6.52965903317478,0,5.09207485200726,11.3782998474151,16.9849021833311,19.9847856402223,22.7600624533794,31.1574311817859,37.3462920650784,39.8586778409373,43.6593496828781,50.5372088404534,52.1499754957183,52.6809271434043,57.2975804593981,58.6719157668481,63.8352742823369,67.2388148556341,67.1149060135453,55.4284278084067,53.9219680775359,49.9080627218997
"i129",41.0280623021015,40.8629168659644,39.3414408889939,37.7015468793873,35.8955299882313,30.3806961629137,25.7553050140244,26.1271074432588,21.653033832456,24.7834335646699,21.5353795290066,16.0545090309572,13.8522000519441,14.2792134417066,15.8370675993769,14.3145016133841,9.01832070405761,10.0990928874438,9.4972476504853,4.92882336105415,0,10.5101756121052,17.0842300975431,19.6700392994387,22.8182441498447,30.2111972490407,36.5990067488937,39.1383377366017,43.4681617712075,49.7271329440899,52.1369158100526,52.9261309954153,58.5067920302035,60.5245906088339,65.5306505798086,68.564526016459,68.3928770932647,57.0708251271172,56.2254718813652,52.7937508147813
"i175",34.6014736830161,34.3115868702662,32.3423340194068,30.648842118077,30.9865137409931,25.6087343978528,21.7797558286335,24.0876266067964,19.829717091933,25.3941982728343,23.1253930725099,20.4644976467469,19.0013894454076,20.6747966750005,22.7588263593109,21.3965803746802,11.1425067847102,11.3692034554921,8.19001671440114,11.0135125124706,10.1732202670401,0,6.72146106279903,9.15992968452579,12.3413993145233,19.9304270046121,26.240010579349,28.7735460941222,32.9712892609434,39.4180530087861,41.6289875786683,42.4224742905759,48.2975208234661,50.7673259511348,55.6198049752558,58.3935390000149,58.1952503382353,47.1560534503589,46.9599070836838,42.942009158919
"i88",30.057826364414,29.6889889180887,27.4582122386975,25.7722868764629,27.6399159861568,22.6563924094362,19.7543307180543,23.2399097873238,19.6077320410018,26.1780064915426,24.710548167961,23.8687302535725,22.9135177382722,25.0314052154256,27.2353988750742,26.0290176119401,15.0777733882481,14.8275466002438,11.5848294926268,16.4403676496275,16.5365111192742,6.72146106279903,0,3.19165907728454,5.8054325146755,14.5191989797164,20.4719993895669,22.9563779078773,26.6912560811175,33.6320338041735,35.2441423743741,35.9090064624858,41.5761196472963,44.1318580981431,48.9373720785641,51.6723283942561,51.4738219494923,40.4777709842029,40.5293113731465,37.1574280659587
"i150",30.65619742247,30.2366120824669,27.8424734804063,26.1877244600835,28.9855979069787,24.2801283886713,21.8288792037443,25.6427294503182,22.2325332049386,28.9503719539438,27.6315317131648,26.9537529673702,26.0010438288024,28.1049213305183,30.3041751003749,29.0844366842757,18.1522066237021,17.9155457261992,14.665363808043,19.3440750955102,19.0394194959074,8.86626311019509,3.08933475603554,0,3.36517825351803,11.3410454759449,17.3752084006933,19.8787955271165,23.8364893808168,30.5589430768494,32.4737724220053,33.2693556420511,39.5136282006022,42.5341351645369,47.1740670857936,49.6294559794165,49.4000909009516,38.7507170027193,38.10624917476,36.6268195716238
"i132",28.6064829836899,28.1470849854253,25.6381841494586,24.024962017535,27.6693777670887,23.3366511292674,21.4951133229865,25.7279354935376,22.7445226790582,29.6778863234107,28.7348238947671,28.8004655315161,28.0576523277243,30.3037583796347,32.5281228356368,31.3815879160296,20.387877968393,20.0091357331099,16.883678481564,22.0303767677427,22.0866931639188,11.9457350917656,5.6193108371289,3.36517825351803,0,9.50381017499082,14.963086924153,17.3878796716172,20.8998048697878,28.0224014003781,29.4387123025122,30.1225095178679,36.1571079921312,39.191622356507,43.8127490736952,46.2722745009091,46.0462825009604,35.393572975394,34.9765969556655,33.7587379945544
"i70",33.9783979368767,33.4251288458733,30.6921171651253,29.2857555426262,34.7218311788468,31.1066435381767,30.0089148713402,34.5236895921367,31.8044722640692,38.7914161617337,37.9294594060994,37.8389162881213,36.9584718565337,39.0820794372129,41.2815169038984,40.0567002949098,29.1289263602064,28.8726074354827,25.6385016426557,30.1585265618567,29.2426288093132,19.2914591931801,14.0537146830845,10.9774525130125,9.19911882109389,0,6.44552503599767,8.97479056474717,14.0155385240575,19.5168034127672,22.7278040719161,24.0897782707875,32.5878482623349,36.1653283560185,41.1906053059778,42.4806521340328,42.1347574428452,32.1636294294065,34.8861516517175,35.7002309606999
"i118",34.6535791328739,34.0509850096222,31.2702252107567,30.0857730610736,36.7235001473729,33.8652311335066,33.5694414752603,38.3676439592497,36.1518209186283,43.2049169847638,42.7135712104541,43.257832508433,42.5408747334573,44.7707585767759,46.9902385213567,45.8187172240957,34.8349091841662,34.4862624795994,31.3290676891569,36.1489730863931,35.4256456745166,25.3987580498393,19.8156688130789,16.8181606825287,14.4833716174022,6.2388820461195,0,2.53960048361229,7.93663369746502,13.1929959490912,16.4690116431872,18.0496454950132,26.6146611999073,32.0311296419658,35.2364112217641,37.1004538251483,36.7045567709759,27.9612797210596,31.7907260527275,33.8833631851368
"i39",35.4693910213424,34.8536939109776,32.0811093733447,30.9896808890402,37.9941533037884,35.4051762318733,35.3619505470107,40.2255178161214,38.1664156926952,45.2199286319943,44.8372600563277,45.5540821584311,44.879141595277,47.1335297427759,49.356685770336,48.1984242981746,37.2086151444068,36.8392502066539,33.7027467974162,38.5808119858453,37.883565924595,27.8510686293572,22.2203983653011,19.2414830165051,16.8304257135738,8.68705953500605,2.45818110596675,0,5.75247484841845,10.6802100062357,14.1540392079185,15.8972644986315,25.0321109449178,30.8240696811647,33.7587531301827,35.2593463034563,34.8375851780397,26.752386100894,31.0829254137583,33.7220180682063
"i124",33.5377304590992,32.9020074970017,30.2037310762897,29.3607240619399,37.165276707106,35.3738221781991,36.1099659960253,41.1206985379982,39.6472448541566,46.6249894957565,46.6796610489898,48.2086576693238,47.7825031790472,50.1812047351798,52.4173267123745,51.3597552160793,40.4017057797459,39.8982748129606,36.9290745509746,42.259634608587,42.0745761652647,31.9142325037408,25.8355366588203,23.0722935385321,20.2297588856293,14.0155385240575,7.93663369746502,5.94300715742652,0,8.70900776456525,8.75228160405177,10.1246953589486,19.3308079158259,25.3870907971187,28.0986314099859,29.3165065674448,28.8962884716744,21.3356102093202,26.2646954865277,29.7736223214558
"i73",41.683843729276,41.0447421276287,38.3909951995805,37.6289947228075,45.5631700872954,43.7958098102874,44.4269274706603,49.4139612296711,47.7589810023816,54.7779575482587,54.6574228034592,55.7344628073321,55.1307491825287,57.4196306877626,59.6469811357595,58.5054042243094,47.5118760304908,47.1169931250519,44.0074139465768,48.9169901807531,48.1328852494108,38.154313548708,32.5537936325561,29.5792259351659,27.1240055712408,18.8910963388586,12.7700296099419,10.3378033728133,8.42979770901647,0,8.01225659855383,10.6560479793775,22.0237411768912,29.2962706389464,30.6626515961316,29.3078751177854,28.7706302940105,25.5412018436335,31.8365782218975,36.5527096744254
"i95",36.881975503758,36.245181436103,33.7756081796136,33.3076183541296,41.8032632919885,40.946679862403,42.4187992902856,47.4663935640775,46.5194505524485,53.3423320328749,53.7538250320413,55.8518767078831,55.5832379590752,58.0547838790013,60.2885878626947,59.2928163832034,48.4051280537458,47.8348237615499,44.9705564377415,50.4780516728609,50.4654106796179,40.294365742462,34.1142181377513,31.4326660127634,28.4949096651196,21.9991525872727,16.4690116431872,14.1540392079185,8.47168419285313,8.27763694185205,0,2.65489581113377,14.01520288469,21.3703794245511,22.6618672551969,21.5940139354867,21.092023498579,17.7230048107329,24.4196967376946,29.8521063105504
"i130",35.3082093848963,34.676546286917,32.2930768876835,31.9372542354987,40.5707414733852,40.0402232324841,41.7932318636967,46.8283239139214,46.1280267805335,52.8468345759378,53.4354587600688,55.8643235145986,55.7078781948353,58.228915754472,60.4558233667664,59.5120941388672,48.7126372008848,48.0881799969917,45.3231026792097,50.9919810554334,51.2293236925974,41.0624133372051,34.7577667391862,32.2027429017703,29.1567843993334,24.0897782707875,18.0496454950132,15.8972644986315,10.1246953589486,11.0089954463221,2.74283073347598,0,11.3677324560215,18.7222229200886,20.0491728010882,19.2073561693002,18.7308573631529,15.1079121617807,21.9350122324183,27.6156504382794
"i36",31.2409991553442,30.6756351449647,28.9111454179236,29.1624663031943,37.9585854418484,39.0005421464869,41.932718109457,46.7094361731739,47.1037432081009,53.1597144632329,54.4921201477628,58.2358415756241,58.5380111552209,61.2024559952538,63.3563010228245,62.6403655881952,52.4463573968663,51.6286323383879,49.332577895215,55.4606248548835,58.5067920302035,48.2975208234661,41.5761196472963,39.5136282006022,36.1571079921312,32.5878482623349,27.4961866277465,25.8612194631398,19.9710790276946,22.7532070798291,14.4794116013211,11.7442521923272,0,7.71188633206974,8.82991177261473,10.1162358750625,9.89786702449261,5.15033392475161,12.8204208840502,20.0671645765261
"i111",27.6612652752768,27.1817416438706,26.003758233969,26.6807354408833,35.047268032177,37.1315277008603,40.7409622400693,45.1618851277367,46.2862955632659,51.7141687601957,53.5159352897633,58.0655828184455,58.6744826295664,61.3827764028794,63.4458958631716,62.8995905690567,55.1115516930942,54.1526652141818,52.1771252067759,58.6719157668481,60.5245906088339,50.7673259511348,44.1318580981431,42.5341351645369,39.191622356507,37.3631890506379,33.0920582425487,31.8450182857453,26.2279568862425,30.2666157925108,22.0782048116117,19.3423366027601,7.96731787212437,0,5.48439577083731,10.8199207556999,11.1097628128918,4.20848437497397,6.93811476554635,14.660374492789
"i61",32.8374925302736,32.3744968234758,31.2728487412005,31.976895497589,40.2904791710887,42.4384593401658,46.0420617282585,50.4704512031707,51.5734042693273,57.0227160535288,58.8149590871322,63.3097273886323,63.883917292873,66.5890983145277,68.6652909878374,68.0968400216346,60.3615311302788,57.5172643301897,57.3648025615984,63.8352742823369,65.5306505798086,55.6198049752558,48.9373720785641,47.1740670857936,43.8127490736952,41.1906053059778,36.4035045108528,34.8769037266856,29.0293085991236,31.6782537435321,23.4124690410968,20.7132374494618,9.12237432529088,5.30856650426375,0,5.97953977055588,6.45263076716545,8.46614525086149,11.9562487648864,19.5148326037732
"i173",38.0899239010016,37.5970743521615,36.2990616350802,36.8651812417702,45.3843769732583,47.1731043089061,50.5233489091253,55.1117095091867,55.9131491572696,61.6415383197922,63.240686446523,67.3772997874951,67.8037301626389,70.4900153802389,72.6131138318473,71.9597634847177,61.9533960075455,61.1015739871119,58.9060381337719,65.0831441135249,68.564526016459,58.3935390000149,51.6723283942561,49.6294559794165,46.2722745009091,42.4806521340328,37.1004538251483,35.2593463034563,29.3165065674448,30.2786046325519,22.3092464996085,19.8435383373775,10.1162358750625,10.4730350074148,5.78783622904728,0,0.674158439600695,11.9384579878961,17.3949315053491,25.0798304858911
"u.25.2",38.3112761980845,37.8118678894724,36.4726785791605,37.0111405330925,45.5658457580541,47.2826500501696,50.5863642009946,55.2002125617049,55.9497932914092,61.7233807901623,63.2884986620398,67.3660924226058,67.7700408109023,70.4525969847468,72.5820054957775,71.9162577272698,61.866053960884,61.0225101204826,58.8003345926985,64.963207778479,68.3928770932647,58.1952503382353,51.4738219494923,49.4000909009516,46.0462825009604,42.1347574428452,36.7045567709759,34.8375851780397,28.8962884716744,29.7235652943334,21.7906292369321,19.3512570341021,9.89786702449261,10.7535847526606,6.24575996814442,0.652544976797796,0,12.0049360984012,17.6894524008546,25.3955975824397
"u.25.3",26.7432959589697,26.2067331215536,24.6647183082568,25.103975752034,33.7673296175625,35.2949900934497,38.586743136817,43.1965283776822,43.9792610580118,49.718470689657,51.3025595174787,55.5068890492034,55.9899591871633,58.6858660544896,60.7897551785003,60.173690601621,50.3522961664642,49.4628845705452,48.9758545968671,55.4284278084067,57.0708251271172,47.1560534503589,40.4777709842029,38.7507170027193,35.393572975394,33.2289466611628,28.8874075753237,27.6384732250612,22.0422839774629,26.3871723676849,18.3100225931885,15.6083133741852,5.15033392475161,4.07356072030763,8.46614525086149,12.3338811798906,12.4025611649326,0,7.67432307826445,14.9820581329233
"i82",20.900211339558,20.4506470380354,19.5017697656977,20.3526990143258,28.4251888463859,30.9054403172107,34.7990927733388,38.9967188959141,40.4740294291938,45.543813526119,47.5560124378406,52.5001026376436,55.0470177031614,57.8500242189671,57.990446817107,59.4541628506192,50.0944341745547,49.0705700827594,47.3923239542437,53.9219680775359,56.2254718813652,46.9599070836838,40.5293113731465,39.3683966563609,36.1350847291566,36.0416437141357,32.8436920542277,32.1124477855836,27.1346294207574,32.8910629296754,25.2285209963507,22.6615392731949,12.8204208840502,7.16791760020038,12.3522612193998,17.9710829101071,18.2753588671732,7.67432307826445,0,7.73517196231475
"i102",13.8701507607273,13.5191897916898,13.2331486513739,14.9455725688252,21.6002738766767,24.8444431543208,30.135561480389,32.9031351105372,36.1134600908366,39.3656172081494,41.7035739921973,48.7730722307237,49.8397303033808,52.6203273605947,54.558663448304,54.262865365344,45.7633516197422,44.6629517417257,43.4430201154777,49.9080627218997,52.7937508147813,44.3643257051172,38.3881488866078,37.8399656849914,34.8768880897381,36.8826867934157,35.0056410906888,34.8389519334128,30.7597782209467,37.7634011347601,29.8521063105504,27.6156504382794,20.7318251448485,15.1459524529955,20.1611989441537,25.9105195611023,26.2367454315872,15.4782908336267,7.99137476430693,0
