"","X_points","Y_points"
"i62",0.147540203761309,1.21161186834797
"i63",4.35636903392151,7.87080519367009
"i64",7.08829640643671,4.73793511511758
"i65",1.33166994201019,9.8147686640732
"i66",1.18082851637155,9.67606563819572
"i67",9.59463295759633,9.25079167122021
"i68",3.89765420462936,0.763452230021358
"i69",6.88503755722195,1.7476186924614
"i70",4.04915590770543,2.50029958086088
"i71",2.52526003401726,5.27357367100194
"i72",4.54514697659761,1.00489682052284
"i73",3.06087457109243,3.93575547263026
"i74",7.29961816454306,1.20479892706499
"i75",2.02097260160372,2.28353081271052
"i76",7.91636056266725,4.45948314154521
"i77",8.20374173345044,7.13354797335342
"i78",8.66656606318429,8.59923178795725
"i79",3.94660771824419,0.435551861301064
"i80",8.87889244360849,1.85900426702574
"i81",1.48346423637122,0.601721045095474
"i82",5.67265183432028,5.2791698789224
"i83",9.25543326186016,5.72433113353327
"i84",5.95398728502914,0.472397585399449
"i85",1.08925858512521,6.39233145629987
"i86",0.238205946516246,0.410925878677517
"i87",8.40068068820983,7.52564962022007
"i88",5.07656103000045,1.70950554776937
"i89",8.89624606352299,8.93911976832896
"i90",7.00396282365546,0.0976563501171768
"i91",9.55133034382015,7.12260759435594
"i92",2.59999618632719,3.32303520990536
"i93",7.98568264581263,6.72368863364682
"i94",3.52061114041135,0.497459135949612
"i95",3.56932430528104,4.47225539712235
"i96",5.32587264431641,9.80124257970601
"i97",3.83911017794162,1.45417768042535
"i98",7.07790600368753,8.59145941911265
"i99",0.326338121667504,1.63080904632807
"i100",4.08908754587173,8.30448556458578
"i101",9.54359235009179,1.43602090189233
"i102",6.28721336368471,4.9164961813949
"i103",5.92108530458063,1.0545388283208
"i104",6.84648219263181,6.79211448645219
"i105",3.50308743305504,1.45906886085868
"i106",0.594670425634831,7.84245499875396
"i107",6.84498848393559,3.80098299123347
"i108",6.59691219683737,3.73563063563779
"i109",3.24946293141693,0.788484234362841
"i110",9.07008110079914,4.52784789027646
"i111",5.15066628577188,5.64959266223013
"i112",8.60075526172295,8.0586158670485
"i113",7.19778932398185,2.02087119454518
"i114",9.68074541073292,2.13804196333513
"i115",1.1713904608041,4.69377878354862
"i116",9.08318743342534,2.27440085727721
"i117",6.03677295846865,7.63331334106624
"i118",3.80225038621575,3.02020735107362
"i119",9.26084860693663,2.24668645998463
"i120",9.42930482327938,2.46028007240966
"i121",7.40107968449593,7.85680151777342
"i122",2.70169887924567,3.27297053532675
"i123",6.20008617639542,0.929239690303802
"i124",3.81052637705579,3.72886606957763
"i125",8.29856204567477,5.3722913004458
"i126",8.16010051174089,8.41854564845562
"i127",8.25838350690901,6.62312121130526
"i128",4.69542038626969,4.05811101896688
"i129",5.55198058718815,0.25992892915383
"i130",3.75559331383556,4.63128712493926
"i131",0.236584774684161,7.7062889165245
"i132",4.82866988750175,2.16479506110772
"i133",9.52454245416448,5.32686217222363
"i134",6.86927151866257,0.25391916744411
"i135",4.98969890875742,4.31741634616628
"i136",5.95583612332121,8.83488001069054
"i137",7.1730506257154,7.42418834473938
"i138",8.05799060268328,5.18843860831112
"i139",5.85104616591707,9.77960382355377
"i140",8.44565657200292,0.200264940503985
"i141",0.0549257849343121,9.00474344613031
"i142",4.26130345556885,9.29847851861268
"i143",4.42053220001981,0.711408422794193
"i144",2.6981802820228,6.41220938647166
"i145",5.75399438617751,2.31194406980649
"i146",8.78978257067502,1.89020131714642
"i147",8.6190018733032,3.01940602948889
"i148",2.66588998027146,1.38197037857026
"i149",3.98231914266944,1.01668000919744
"i150",4.8373416159302,1.86442435719073
"i151",4.77117100032046,7.24548146128654
"i152",3.6908916477114,6.68220807099715
"i153",8.80825157044455,5.82016991684213
"i154",9.10489968257025,3.50589867215604
"i155",6.2692850548774,9.09528342075646
"i156",5.9999291296117,1.91494590835646
"i157",9.46570836007595,9.93372179334983
"i158",5.5949635989964,8.34981685969979
"i159",3.53090633172542,0.672308392822742
"i160",6.03602229151875,4.62196422042325
"i161",8.04909085389227,6.69830398401245
"i162",1.16687662433833,2.58497069356963
"i163",3.73436822555959,0.620988528244197
"i164",7.77709108078852,6.41267063794658
"i165",0.863866980653256,3.90527666080743
"i166",0.26194344740361,5.83572388160974
"i167",0.295712652150542,7.86517334869131
"i168",0.388435136992484,3.47321986686438
"i169",6.66997305816039,7.86737083923072
"i170",9.25004032906145,4.45405954727903
"i171",7.40385580109432,6.94184403633699
"i172",7.2125211567618,9.63958756998181
"i173",4.4150290125981,6.27595224417746
"i174",2.17091350350529,4.27195298718289
"i175",5.16805961262435,1.11632352694869
"i176",2.65926853055134,2.97587660839781
"i177",4.9421358271502,9.34373020427302
"i178",4.66335784411058,7.16454845387489
"i179",7.64069115044549,2.33114976901561
"i180",4.9992049112916,3.60849301563576
"i181",6.59250231459737,5.72243806440383
"i182",0.193328033201396,5.16080756206065
"i183",2.165458179079,8.44483541557565
"i184",9.32232364080846,1.87066355254501
"i185",9.74067014409229,4.53121508937329
"i186",9.29074859246612,4.44631771184504
"i187",7.18803012277931,3.13903474248946
"i188",3.66050055250525,6.43526782747358
"i189",3.01592566072941,8.01409774692729
"i190",8.68386443005875,9.38367731869221
"i191",4.51228568796068,0.914284547325224
"i192",6.73292238963768,8.84185261325911
"i193",3.49004754796624,1.64306776132435
"i194",3.45426338259131,1.65411546360701
"i195",3.42096383217722,8.06320721283555
"i196",1.4239535946399,3.31511223455891
"i197",6.51616374729201,3.601706456393
"i198",8.32153000403196,3.44014151487499
"i199",2.10498956497759,2.2511220141314
"i200",7.25868978071958,4.46711669908836
