"","C","i8","i25","u.4.2","u.4.3","i6","i15","u.10.9","u.10.10","i40","i23","u.2.10","u.2.11","u.7.8","u.7.7","u.7.6","i24","i29","i3","i13","u.5.6","u.5.5","i34","i33","i21"
"u.2.10",41.7534467129458,36.1097810858155,33.6085583027069,36.0759851753963,27.239125928277,22.3174403561396,18.0381502596786,20.4841225030717,21.9125078310516,15.8199883143077,2.40733549941441,0,10.5919744021324,11.977897659876,6.71707249503565,14.2244218897987,17.3349719198295,18.7569241041207,22.5980706479586,25.5778784353097,18.0099055728623,22.2919114891202,30.9933978878486,34.392042900227,44.3336750972475
"u.2.11",52.4005382225191,49.4885492976215,42.0482736395005,40.8592303819586,33.1264151049193,26.0621832204223,24.5715310756954,24.8562288262531,20.0287067538126,6.03181842905066,9.30769169899233,11.5953545763936,0,7.14481132167578,14.1557363202208,25.1745281884171,28.9259483616005,30.3276654595153,33.9313577317097,35.2132626674482,28.676881690035,33.8609298810832,42.4345668592121,45.9871154932301,55.7857134427214
"u.7.8",49.7594500886572,46.116114274972,37.617233864194,40.3824410365757,27.573074200036,19.9456295270035,19.8186893886888,19.0529729113639,12.8917915265908,6.04983302553533,11.9809611294581,13.1125666634972,6.5265497599637,0,11.9171191316634,23.8342382633268,29.0718761101083,30.2204484858748,35.3069896779344,38.6147853140824,31.1090905834541,33.6409682673011,41.4569031359829,45.9143836222373,54.6580152178601
"u.7.7",38.4048136254079,35.3350851293393,28.1843787557545,30.7986295068355,20.7422155492873,15.6095086422611,11.5698932610126,13.7670521522192,15.2044890312157,16.3935317414552,7.74449827515269,6.13582443347872,12.9307987745682,10.8858957229922,0,11.9171191316634,17.5023480531465,18.512486212125,24.3817859203578,29.7558761424235,21.4328800308984,21.8526000135381,29.5405087733174,34.0955673231699,42.7609024549873
"u.7.6",27.5298384099066,25.5827274380499,21.3938679274856,23.4607133677268,19.602041927871,19.3266872400236,12.6087218961177,17.3229076646848,23.6786592961762,27.1643284044178,15.4007842017757,12.9935407795645,22.9961021373446,21.7717914459844,10.8858957229922,0,7.17815094449743,7.49561482583918,15.0464250242729,21.6889887030907,14.0030844707228,10.3630577311103,17.6250945059348,22.3812478553849,30.879222573934
"i24",26.911424372051,26.6796288950448,25.4044625200706,26.9322354689876,26.095548952609,26.4843556742849,19.7481956160185,24.4914368804049,29.9515646238356,31.3702221209754,18.0558696450716,15.8349257564166,26.4229008768068,26.5562010675489,15.9878183400751,6.55700440705336,0,1.51537780652433,7.87807850190742,15.845414331531,8.79011415532831,5.04448667205867,14.1267395876302,17.0702203950297,27.280555788576
"i29",25.2665881133116,25.1390393884961,24.2722676911636,25.6922866877216,25.6586167481417,24.26358518964,18.0986669503623,22.4786210070485,30.4929747554465,32.5444562412437,19.3923084382926,17.1338322312329,27.7033232668535,27.6053840936447,16.9105462697841,6.84699720396353,1.51537780652433,0,7.34250446419817,16.5962180942396,9.90763215061133,3.53499012507374,12.512180856914,15.7501470368963,25.7193332356249
"i3",28.9208851283235,30.3664126539783,31.482059316046,32.5597967737499,33.6928289826046,34.3622527008363,27.6259547712612,32.3670577436158,36.8259761386296,36.45885734944,22.5059489364645,20.6425930542955,30.9951774355871,32.2517718989277,22.2719581919869,13.744413562407,7.87807850190742,8.03806160294254,0,10.0560662358529,6.25873494665384,7.70837699880832,14.5533631190315,13.9765449431569,23.5027812391102
"i13",39.4349408625351,41.2962714464468,42.2941508018898,43.4889404907565,43.2733836647881,42.5648826296078,36.0599062714661,40.5051508932031,42.3832579781106,38.1335064701915,24.4127166354886,23.3645492997004,32.16615536264,35.2733342388058,27.1810125630153,23.7435915975308,17.3464540800798,18.1683816561269,11.0086797061122,0,8.60951315910901,18.6541670332724,25.0233561522269,22.5332130033111,34.3485945936726
"u.5.6",34.9607887889781,35.6536740958999,35.0272442008097,36.5249680337196,34.9298590270988,33.9611301802518,27.4852970047213,31.9004721507152,34.7321723818822,31.951879979899,17.914183222742,16.4514554130961,26.1953866777139,28.4171293738951,19.5782298122579,15.3295998873008,9.62280369347274,10.8461844257938,6.85162634942799,7.86450663455841,0,12.5530905981961,20.8662133734163,20.8281587252018,29.7354000441266
"u.5.5",22.5568766987,23.1340106284097,23.7880805899319,24.8552420267851,26.854669002629,26.2092837278286,20.0935338008056,24.4974494220836,33.0928840968781,35.7392557629288,22.6186812803273,20.3629267489635,30.9308439142515,30.7299162265917,19.9616301889255,9.46631183139546,4.60797238672814,3.2290970206982,7.04134843962295,17.0399670322955,11.4668347058944,0,9.15385469139683,12.2771522900225,22.2371725964748
"i34",14.4244704050105,16.8351703023189,21.5702153740718,21.5923311821191,26.1904019825284,29.9379217640413,24.3171780302335,28.5025525668618,38.3934236965971,43.2224896247035,30.6390755366808,28.3114479079,38.7625788394082,37.8695152369015,26.9842815665118,16.0999431808741,12.9043112146302,11.429465004985,13.2940177556574,22.8580114625753,19.0605984892096,8.36174469123224,0,6.87262386317296,13.3512110482351
"i33",18.4780118640917,22.4173407423876,28.3389572387958,28.1831030253976,32.3649103099014,35.7303753629486,29.9067832346891,34.2030160618556,43.6657257399334,46.9309285098978,33.598128874895,31.4159981599754,42.0077149795704,41.9412768115351,31.1451774875797,20.4445325764025,15.5930839606242,14.3872404371539,12.7671133549944,20.5833477326141,19.0258368217579,11.2147741520332,6.87262386317296,0,11.9204941813764
"i21",12.382437675057,16.9740138676801,25.8078398686161,24.6160913067697,35.1193263558394,40.2471804902722,35.2024377899657,39.0620053715225,49.5223570261548,55.3681241804574,42.8140410862956,40.4973516496422,50.9584113963141,49.9282962193812,39.060675655179,28.20715252009,24.9198889680192,23.4937635996276,23.5027812391102,31.3763095633216,29.7354000441266,20.3129245738785,12.1958914433091,10.8889787197156,0
