"","C","i61","i69","i37","i30","i55","i68","i52","u.32.1","u.32.2","i12","u.2.6","u.2.7","u.2.8","i2","u.18.5","u.18.6","u.18.7","i75","i41","i78","i45","i42","i87","i1","i82","i49","i29","i19","u.48.9","u.48.8","i35","u.41.7","u.41.6"
"i12",12.8406303584378,17.4943129857226,17.0208715176438,21.099311095683,22.8397612287358,21.8946548475198,17.5939572500947,17.1106553096191,16.6919726179163,6.31859931613433,0,0.454579581366184,11.7128021596292,23.2112530054427,30.0543880413552,31.7671784734781,35.6797237185436,42.3422100887485,42.3110621567096,36.5112550521671,36.5323407217108,37.3055772464774,41.106428333264,43.0506568308203,43.315340461056,45.366809075128,36.2661715539006,29.4408872877423,30.2153965144668,30.7315277376501,19.8573970860408,18.2358213313929,17.5689747524094,9.74765070890155
"u.2.6",12.8390898371867,17.3751651946775,16.8807342723429,20.9549932053148,22.6647768409718,21.6093069286399,17.2250345616267,16.7255109837106,16.2843898183382,6.19744688892903,0.414603924681011,0,11.5011889306238,23.0023778612476,29.7710562690786,31.4871712330329,35.5090052873989,42.2642635668129,42.2219379698218,36.4729331769438,36.627330369333,37.4009413668803,41.1856998944908,43.2409225209655,43.5523176068049,45.6518909647067,36.5818534797259,29.7772201773901,30.478478355914,31.0097979707174,20.1382295817079,18.6120742680121,17.8838605863647,9.88787157763654
"u.2.7",6.5347906578168,6.78027821601211,5.97544364257626,9.8309921070361,11.2635835326862,11.7823299582185,7.67246543170436,8.0788916784297,9.05283369510679,6.27532497317673,12.8421377256515,12.6101209806898,0,11.5011889306238,20.5522315073262,20.4041814683845,24.0945983228648,31.6338383600213,31.4574787705863,26.4787789074528,29.3488155909437,30.1025909550346,33.3881672656003,38.2843686154765,40.0495394489819,43.7835904598468,36.3137485319463,30.8285007206293,28.5591016652998,29.6041678663513,20.0363147387148,22.7545588956635,19.4490967659508,9.27437608289886
"u.2.8",14.9177228296109,7.38936218266052,7.83056191900538,4.3289450237016,2.1445774363169,5.34358556023726,11.7924525967854,12.9932507915704,14.7226541887729,18.7247887141111,25.4492566183901,25.2202419613797,12.6101209806898,0,9.86651029280929,11.2762824879968,12.8360653556956,21.9017391447959,21.4711105654111,18.3447895590419,25.4106142553458,26.0395131083368,28.2459243882751,36.4165219885566,39.6948553954151,44.8827932741882,39.5436386098516,35.7584223017001,31.0943986370817,32.492470413456,25.7276936309478,30.8817953841782,26.4812566579819,20.1816381633739
"i2",22.291445619167,16.2647667911692,15.8459360515473,13.293652168303,10.9066441378079,8.94969864244452,16.0717401732342,16.9996839142943,18.3080773717943,26.8087523852457,32.9521992455028,32.6415489338148,20.5522315073262,8.99885093388981,0,1.74710894638113,12.0747858060157,23.3340851321433,22.51406143548,22.394736589566,31.942325948336,32.4589529524491,33.8444385802499,43.4916439745107,47.324647734391,52.9337021937441,48.207879191086,44.6906389173699,39.7309209856392,41.1745352976818,34.7264671642621,39.7461903968794,35.4367450749547,26.8963210326253
"u.18.5",23.7520624901664,17.6410678475468,17.2816768676516,14.4978880001652,12.0628075759177,10.8393657704386,17.9871854051496,18.9123505951245,20.2104456498654,28.6378889617855,34.8301350566542,34.5231298245185,22.3715303157204,10.2846479845938,1.91556327899716,0,11.3121840088976,22.6243680177952,21.7483370989543,22.1994247099468,32.1768561437441,32.6618158718957,33.8427142098903,43.8111632293083,47.7991168724516,53.5415721957944,49.0940631100127,45.7754083296251,40.6162403894097,42.0815576481647,35.9523246048632,41.1455705363382,36.7655793427806,28.4174847784837
"u.18.6",26.8007360912191,20.2388538672658,20.5538016349114,16.1051000017765,14.0850541000225,18.2655812191537,25.4670454390424,26.6344884992833,28.2925329494223,32.235490083821,39.1199236324535,38.9327447170079,26.4177731246062,14.0737047298103,13.2390234390764,11.3121840088976,0,11.3121840088976,10.4502413236804,11.9381270197779,23.2542919888889,23.575473060878,23.8854145936113,34.9575183740779,39.6118173975177,45.9526981879255,43.2985432843966,41.5272645452876,35.0820008636713,36.6429126165182,36.521517161443,43.7805106858886,38.4176323257725,32.1788315251128
"u.18.7",32.6500485430772,27.4367074612243,28.1701246023124,23.9528043104205,23.0112321400352,29.2819832759309,35.7947684490278,36.9970056968702,38.7315918644248,39.5700447059506,46.4247996472086,46.3393376069308,34.6839384353821,24.0134808644002,23.3340851321433,22.6243680177952,11.3121840088976,0,1.27672084059002,7.60841333760746,17.3811718424312,17.341933517952,15.8627793790182,27.9386680488747,33.3071703298945,40.1563444850997,39.9403515577159,43.9877253664818,35.8269972766162,37.5109827008202,37.702300412133,45.8908124228661,40.4296664646439,37.5210619803458
"i75",32.7186608842138,27.3176651318388,28.0106143373015,23.7253243893576,22.6505620728848,28.6914081727315,35.3337428340608,36.5345678306606,38.2624619364593,39.5090463454637,46.3906484656501,46.2929310221979,34.4905744473376,23.5413315486607,24.6848426002413,21.7483370989543,10.4502413236804,1.16444621124383,0,8.28248753115866,18.364249920406,18.3511307541803,16.9761802887175,29.035357751902,34.3769792045046,41.2090380306722,40.8377396798296,44.8090554832616,36.7087042948638,38.4010749583512,38.2646268081233,46.3982105463675,40.926557028964,37.6715396796807
"i41",26.0194658446968,21.6052861650023,22.4975045985376,18.7334756919658,18.5291515805622,25.8770800928516,31.4482045303265,32.6345770293397,34.3747357085108,33.3234085172833,40.0316303072571,39.9896134787633,29.0318337919702,20.113574092228,24.5540125832705,24.339868945963,13.0891881622256,6.93933066876211,7.55412688405316,0,11.7763379218307,11.9646975554787,11.9478097683361,23.2590052184233,28.2072381969,34.821164090433,33.6077642029169,36.5646824672205,26.0384575059886,27.5932032229015,30.1037351450406,38.3196539020058,32.8691314867556,30.6038320695102
"i78",26.6190304915573,23.1698193409107,24.1948128825911,24.4956811994221,25.6623078307483,33.5864458067253,33.8461650185094,34.8083750983675,36.2770147752399,34.3557913932961,40.0547490339825,40.1588974794741,32.1785962715841,27.8606778730807,35.0221700593608,35.2793133995459,25.4964453735194,19.0570454099417,20.1349108003379,12.9117995365125,0,0.774195587422109,4.80772613668673,11.7404679832591,16.4449307655426,23.0543543444413,24.9631944157654,26.386860357956,17.8802129758373,19.4317025290331,23.5996471255939,31.8933184020277,26.9786558726822,29.4391379810684
"i45",27.4653335022779,23.9010217278217,24.9243304919382,25.2425926255224,26.3671067284223,34.2946138347037,34.5595282451894,35.526186499034,36.9996202307291,35.2033386199787,40.9025401782556,41.0070992027836,33.005049831367,28.5502144652254,35.5886096738263,35.8110324139576,25.8485943729767,19.0140237691577,20.1205266984619,13.1183205999005,0.848842678700305,0,4.09984613717976,11.3823067166695,16.2495653769612,22.9402472237379,25.2100653149857,26.8666623477669,18.3485852526025,19.8705579530817,24.3406533028791,32.6126513304364,27.7328194504464,30.2849066866091
"i42",31.4264352322575,29.5619726413907,30.6587537346111,25.6532738875228,28.9188234679549,36.8083602017601,37.397201729743,38.4024798281371,39.9177175447896,39.1914493466881,45.0698651672701,45.1567800056775,36.6074178141417,30.9693655061318,37.1076823096174,37.105791677355,26.1884201291037,17.3922512068986,18.6130050138319,13.0998045108032,5.27128182932613,4.49514881495356,0,12.1082060489957,17.6105438339696,24.5491134046216,28.5078016761882,30.8805146776171,22.3736828513364,23.8082605869358,28.8315487900848,37.0884148663041,32.2274664023043,34.5145776311741
"i87",32.3104607995258,36.0929956134703,37.2250066744158,36.069650858152,37.6328066530882,45.4409404031983,47.9518564736241,48.8979703241121,50.3771058329261,38.9161772946503,47.2015540488439,47.4101649486107,41.9757055398879,39.9277631853268,47.6850606903232,48.0353876419942,38.3280840390386,30.6324838467404,31.8349151707427,25.5016130474874,12.8724710577189,12.4797762737679,13.2756660253102,0,5.70249051942615,12.6514604767399,18.3354808757485,23.5069122572857,16.3250589082162,16.9695131467157,26.7932001894109,33.7148668903934,30.1977183043439,36.6636120326049
"i1",36.9962471297406,38.7480429019938,39.8530068995148,39.3337720811315,41.1809290990254,48.7646143676009,50.4496981773613,51.3036048098873,52.6678023842487,43.7198910550608,43.315340461056,43.5523176068049,43.9110722133994,43.5221899115454,51.8876384779839,52.4078554110887,43.4311454807654,36.5186112425362,37.6915699180631,30.9269492345216,18.0305329930192,17.816330687474,19.308533197885,6.25231841464066,0,6.96809338295018,13.5663623202139,20.1122044759004,14.6891189889737,14.6918881732116,26.0671260852885,31.8557253422362,29.2218517408919,34.0520951869938
"i82",40.8841020817298,43.6513920676097,44.7081473077119,44.7870569798569,46.8594869281484,54.1400673450202,55.0030990737595,55.7529374196844,56.9825421632235,46.8947290434735,49.7410271578064,50.0535963311915,48.0051563362762,49.2103430830352,58.0375118298935,58.7039919923032,50.3834070576769,44.0281752742147,45.1823683794088,38.1785826245874,25.2772299602011,25.1521207557955,26.9161120531356,13.8713004504529,7.63994932122031,0,11.0521312921456,19.0010213310431,16.8726196253897,16.0766213453523,27.9755291909362,32.0165533290074,30.6347699842409,40.2725533177539
"i49",32.6703243358174,36.6926154044534,37.6384264642568,38.6697597042718,41.0667775196326,47.6026056791771,47.2288687890954,47.827940896232,48.8647856245086,37.7391974709227,39.7629161263011,40.1090357579398,39.815080424503,43.3563929690058,52.8560301451462,53.8276589477174,47.473341442993,43.7913565451501,44.775269847918,36.8481880478328,24.9631944157654,25.2100653149857,26.0008300932779,16.7230615795637,12.3733385575766,10.0802086095507,0,8.01753279925737,9.29616136832774,7.73160050026036,18.3641387620588,19.320506654007,20.500849701829,31.0626256968872
"i29",26.8398699360206,31.8358121887072,32.6512014563863,34.4606258741076,37.0421923940196,42.7823554329847,41.4126219399403,41.8797807161641,42.7461018454751,30.9440428510383,32.279545420627,32.64830715942,33.8009510221421,39.2062102468721,48.9996614134216,50.1890231052609,45.5312779463041,43.9877253664818,44.8090554832616,36.5646824672205,24.0664040200381,24.5040122985435,28.1648870876057,21.4397181010907,18.3435403865582,17.3300745121944,7.31247222948434,0,7.77158854139312,6.47455816326592,11.8328598955378,12.0400195443865,13.1970087663682,24.3609889070802
"i19",24.1548017661612,27.6183533659239,28.6031013604053,29.4255295204749,31.793091601165,38.4588062060932,38.5180982721613,39.1965575419127,40.3445536588937,30.0241125265131,30.2153965144668,33.417179884077,31.3127389934735,34.0924865247066,43.5617329065096,44.5324138383193,38.4645689940479,35.8269972766162,36.7087042948638,28.549057082854,16.3078298669619,16.735013559584,20.406144710358,14.8894358027553,13.3973601819765,15.3888441168264,8.47865840386688,8.52091660351454,0,1.57046242671262,10.4432889470711,17.4541110884882,14.5347593662393,23.4151617629709
"u.48.9",25.2937143982258,29.0145283419476,29.9785468834968,30.9384206657508,33.3378422907335,39.8989994187347,39.7522795651225,40.3998199532999,41.5065420095336,30.8970501760475,33.694628010269,33.9997287546763,32.4585693339351,35.6253588517427,45.1445389306624,46.1390153835555,40.17598214988,37.5109827008202,38.4010749583512,30.2537096803153,17.7228816735639,18.1231442208416,21.7145659061627,15.4772168371699,13.3998858445893,14.6628457999839,7.05168477176144,7.09882797576719,1.72188469521991,0,11.9236035996819,17.1750622788536,13.47423482474,24.2445925842087
"u.48.8",15.0446699388173,20.4613814338436,21.1772015337417,23.5243627096622,26.1955692581008,31.2876409041599,29.5867901627523,30.0469733997122,30.9222901710721,19.3841603259844,21.7720255816187,22.0799356391818,21.9681942785604,28.2083296950743,38.0747551244292,39.4188083979041,36.521517161443,34.3867660606184,34.8996415620403,27.4564174246036,21.5242978797068,22.2001400906394,26.2961069370426,24.4370103908062,23.7747871288777,25.5153655664244,16.7491992958719,10.7922800627038,10.4432889470711,10.8750437798184,0,8.39944120382659,3.4879281491867,12.7162844465457
"i35",19.2155784037995,25.7709818890452,26.2093328121362,29.4448754623182,32.1336049991435,35.84707702693,32.5045906360985,32.669581575469,33.136540288862,20.4278456122231,19.9940992673213,20.4066301003271,24.948528562341,33.859384298826,43.5784745776711,45.1127814187284,43.7805106858886,41.8551816166897,42.3179592292415,34.9498295819661,29.0886250122396,29.7446999163834,33.8268655128625,30.7499868138487,29.0543378801967,29.2010226791784,19.320506654007,12.0400195443865,15.9191993123779,15.6646900110486,7.66079566919359,0,4.99867351892089,14.7828654190185
"u.41.7",14.8825548789909,21.0319857109103,21.5940376393134,24.4877779485226,27.1845959579141,31.5213399635889,28.9955958759246,29.3238336325255,30.0236567613873,17.835818271523,19.262956070973,19.6082028524348,21.3243573914997,29.0345504444938,38.8535172539597,40.3104762676452,38.4176323257725,36.874287972655,37.3274820591226,29.9786252482102,24.6061571305422,25.293999682231,29.3933880900766,27.5421357197016,26.6520867079176,27.940753143804,18.6980082126191,12.0364658969985,13.2565749201184,13.47423482474,3.181200297893,5.48064014918709,0,11.4012569579219
"u.41.6",4.93061099972312,11.1833504026483,12.3554291439342,14.930109234164,17.225098542956,21.2990474147127,17.7696190129939,18.010709570293,18.6397866948152,6.67932251173156,10.6875085226592,10.8412493341033,10.1686012751577,20.1816381633739,29.4896348719038,31.1574675614128,29.3490301563142,34.2214657079361,34.3587104221261,27.9125359044149,26.8502648304052,27.6216567693825,31.4793711182222,33.4394197733553,34.0520951869938,36.7309913311213,28.3309832925653,22.2186873850145,21.3560361307743,22.1125269364174,11.5980163980373,13.4828625657496,10.3986322193458,0
